"","OTU","Sample","Abundance","collection_date","host_disease","sample_type","author","host_subtype","Collection","Kingdom","Phylum"
"668","ASV3","SRR11944207",199,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"495","ASV247","SRR11944227",196,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"577","ASV27","SRR11944238",194,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"285","ASV1842","SRR11944144",193,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"540","ASV247","SRR11944169",190,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"653","ASV27","SRR11944175",189,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"647","ASV27","SRR11944163",187,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"871","ASV326","SRR11944187",184,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"458","ASV247","SRR11944234",183,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"529","ASV247","SRR11944187",175,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"548","ASV247","SRR11944173",172,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"801","ASV326","SRR11944224",172,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"407","ASV24","SRR11944149",171,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"417","ASV24","SRR11944161",171,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"503","ASV247","SRR11944193",171,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"603","ASV27","SRR11944156",169,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"543","ASV247","SRR11944177",158,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"877","ASV326","SRR11944172",156,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"733","ASV3","SRR11944154",153,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"373","ASV24","SRR11944218",151,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"451","ASV247","SRR11944223",149,"2017-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"816","ASV326","SRR11944232",148,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"484","ASV247","SRR11944188",147,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"453","ASV247","SRR11944209",135,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"658","ASV27","SRR11944162",135,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"550","ASV247","SRR11944174",129,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"515","ASV247","SRR11944194",128,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"514","ASV247","SRR11944242",125,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"445","ASV247","SRR11944141",124,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"489","ASV247","SRR11944148",122,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"601","ASV27","SRR11944193",122,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"520","ASV247","SRR11944164",120,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"865","ASV326","SRR11944171",119,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"399","ASV24","SRR11944145",117,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"371","ASV24","SRR11944146",114,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"654","ASV27","SRR11944174",112,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"873","ASV326","SRR11944175",112,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"541","ASV247","SRR11944185",110,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"556","ASV27","SRR11944234",110,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"342","ASV24","SRR11944211",107,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"704","ASV3","SRR11944210",106,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"352","ASV24","SRR11944195",105,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"461","ASV247","SRR11944139",102,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"561","ASV27","SRR11944201",102,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"465","ASV247","SRR11944146",97,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"607","ASV27","SRR11944153",97,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"296","ASV1842","SRR11944192",95,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"505","ASV247","SRR11944156",94,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"494","ASV247","SRR11944237",90,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"448","ASV247","SRR11944213",87,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"469","ASV247","SRR11944143",85,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"809","ASV326","SRR11944228",84,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"521","ASV247","SRR11944154",83,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"585","ASV27","SRR11944195",83,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"582","ASV27","SRR11944216",80,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"383","ASV24","SRR11944147",78,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"544","ASV247","SRR11944176",76,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"870","ASV326","SRR11944165",75,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"496","ASV247","SRR11944189",70,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"632","ASV27","SRR11944247",70,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"532","ASV247","SRR11944165",68,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"725","ASV3","SRR11944150",67,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"524","ASV247","SRR11944161",64,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"510","ASV247","SRR11944245",63,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"466","ASV247","SRR11944238",61,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"692","ASV3","SRR11944209",60,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"777","ASV326","SRR11944212",57,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"874","ASV326","SRR11944182",57,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"384","ASV24","SRR11944229",56,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"535","ASV247","SRR11944199",55,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"534","ASV247","SRR11944247",54,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"827","ASV326","SRR11944151",53,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"241","ASV1842","SRR11944200",49,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"547","ASV247","SRR11944183",49,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"525","ASV247","SRR11944180",48,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"444","ASV247","SRR11944216",46,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"446","ASV247","SRR11944233",46,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"518","ASV247","SRR11944249",46,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"537","ASV247","SRR11944181",45,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"714","ASV3","SRR11944241",43,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"780","ASV326","SRR11944202",42,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"425","ASV24","SRR11944165",41,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"468","ASV247","SRR11944218",41,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"401","ASV24","SRR11944189",39,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"637","ASV27","SRR11944170",39,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"363","ASV24","SRR11944206",36,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"456","ASV247","SRR11944217",36,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"822","ASV326","SRR11944191",36,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"395","ASV24","SRR11944148",34,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"449","ASV247","SRR11944201",33,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"504","ASV247","SRR11944166",33,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"644","ASV27","SRR11944184",33,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Proteobacteria"
"1045","ASV4345","SRR11944178",33,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Spirochaetota"
"555","ASV27","SRR11944142",32,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"639","ASV27","SRR11944159",32,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"710","ASV3","SRR11944234",32,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"867","ASV326","SRR11944180",30,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"808","ASV326","SRR11944238",29,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"404","ASV24","SRR11944234",28,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"810","ASV326","SRR11944190",28,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"531","ASV247","SRR11944230",27,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"787","ASV326","SRR11944141",26,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"847","ASV326","SRR11944156",25,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"858","ASV326","SRR11944167",25,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"807","ASV326","SRR11944146",24,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"901","ASV3967","SRR11944156",24,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Synergistota"
"432","ASV24","SRR11944243",23,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"617","ASV27","SRR11944229",21,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"834","ASV326","SRR11944192",21,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"307","ASV1842","SRR11944167",20,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"485","ASV247","SRR11944151",19,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"773","ASV326","SRR11944215",19,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"350","ASV24","SRR11944215",18,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"629","ASV27","SRR11944230",18,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"636","ASV27","SRR11944180",18,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"467","ASV247","SRR11944190",17,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"474","ASV247","SRR11944232",17,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"506","ASV247","SRR11944248",17,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"566","ASV27","SRR11944143",17,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"581","ASV27","SRR11944226",16,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"785","ASV326","SRR11944226",16,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"879","ASV326","SRR11944184",16,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"823","ASV326","SRR11944144",15,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"960","ASV3967","SRR11944171",15,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Synergistota"
"635","ASV27","SRR11944152",14,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"902","ASV3967","SRR11944238",14,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Synergistota"
"1190","ASV5135","SRR11944245",14,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"346","ASV24","SRR11944180",13,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"332","ASV24","SRR11944190",12,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Fusobacteriota"
"439","ASV24","SRR11944237",12,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"799","ASV326","SRR11944142",10,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"905","ASV3967","SRR11944153",10,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Synergistota"
"1236","ASV5793","SRR11944242",10,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Campilobacterota"
"353","ASV24","SRR11944185",9,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"832","ASV326","SRR11944240",9,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"1150","ASV5135","SRR11944235",9,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"372","ASV24","SRR11944228",8,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"778","ASV326","SRR11944211",8,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"951","ASV3967","SRR11944215",8,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Synergistota"
"482","ASV247","SRR11944236",7,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"771","ASV326","SRR11944214",7,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"1133","ASV5135","SRR11944145",7,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"796","ASV326","SRR11944208",6,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"963","ASV3967","SRR11944216",6,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Synergistota"
"1166","ASV5135","SRR11944243",6,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"1193","ASV5135","SRR11944150",6,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"1248","ASV5793","SRR11944243",6,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Campilobacterota"
"278","ASV1842","SRR11944232",5,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"890","ASV3967","SRR11944237",5,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Synergistota"
"966","ASV3967","SRR11944186",5,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Synergistota"
"1110","ASV5135","SRR11944188",5,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Patescibacteria"
"1219","ASV5793","SRR11944188",5,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Campilobacterota"
"354","ASV24","SRR11944175",4,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"497","ASV247","SRR11944152",4,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Desulfobacterota"
"526","ASV247","SRR11944179",4,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Desulfobacterota"
"739","ASV3","SRR11944195",4,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"790","ASV326","SRR11944158",4,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"829","ASV326","SRR11944168",4,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"872","ASV326","SRR11944186",4,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Verrucomicrobiota"
"924","ASV3967","SRR11944168",4,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Synergistota"
"972","ASV3967","SRR11944172",4,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Synergistota"
"1198","ASV5135","SRR11944249",4,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"1220","ASV5793","SRR11944179",4,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Campilobacterota"
"627","ASV27","SRR11944158",3,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"779","ASV326","SRR11944204",3,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Verrucomicrobiota"
"1113","ASV5135","SRR11944159",3,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"1118","ASV5135","SRR11944220",3,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Patescibacteria"
"1299","ASV5793","SRR11944152",3,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Campilobacterota"
"426","ASV24","SRR11944155",2,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Fusobacteriota"
"186","ASV11","SRR11944160",0,"2017-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"221","ASV1842","SRR11944223",0,"2017-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"222","ASV1842","SRR11944224",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"223","ASV1842","SRR11944226",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"224","ASV1842","SRR11944216",0,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"225","ASV1842","SRR11944206",0,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"226","ASV1842","SRR11944221",0,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"227","ASV1842","SRR11944214",0,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"228","ASV1842","SRR11944213",0,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"229","ASV1842","SRR11944202",0,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"230","ASV1842","SRR11944228",0,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"231","ASV1842","SRR11944227",0,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"232","ASV1842","SRR11944217",0,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"233","ASV1842","SRR11944207",0,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"234","ASV1842","SRR11944225",0,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"235","ASV1842","SRR11944215",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"236","ASV1842","SRR11944205",0,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"237","ASV1842","SRR11944204",0,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"238","ASV1842","SRR11944222",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"239","ASV1842","SRR11944212",0,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"240","ASV1842","SRR11944211",0,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"242","ASV1842","SRR11944229",0,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"243","ASV1842","SRR11944219",0,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"244","ASV1842","SRR11944218",0,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"245","ASV1842","SRR11944208",0,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"246","ASV1842","SRR11944236",0,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"247","ASV1842","SRR11944198",0,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"248","ASV1842","SRR11944188",0,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"249","ASV1842","SRR11944141",0,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"250","ASV1842","SRR11944233",0,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"251","ASV1842","SRR11944168",0,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"252","ASV1842","SRR11944158",0,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"253","ASV1842","SRR11944201",0,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"254","ASV1842","SRR11944230",0,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"255","ASV1842","SRR11944220",0,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"256","ASV1842","SRR11944210",0,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"257","ASV1842","SRR11944209",0,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"258","ASV1842","SRR11944237",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"259","ASV1842","SRR11944199",0,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"260","ASV1842","SRR11944189",0,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"261","ASV1842","SRR11944142",0,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"262","ASV1842","SRR11944234",0,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"263","ASV1842","SRR11944169",0,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"264","ASV1842","SRR11944159",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"265","ASV1842","SRR11944139",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"266","ASV1842","SRR11944231",0,"2017-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"267","ASV1842","SRR11944176",0,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"268","ASV1842","SRR11944193",0,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"269","ASV1842","SRR11944146",0,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"270","ASV1842","SRR11944238",0,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"271","ASV1842","SRR11944173",0,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"272","ASV1842","SRR11944190",0,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Cyanobacteria"
"273","ASV1842","SRR11944143",0,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"274","ASV1842","SRR11944235",0,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
"275","ASV1842","SRR11944170",0,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Cyanobacteria"
