"","OTU","Sample","Abundance","collection_date","host_disease","sample_type","author","host_subtype","Collection","Kingdom","Phylum"
"131","ASV11","SRR11944206",13712,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"150","ASV11","SRR11944174",13587,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"181","ASV11","SRR11944190",13543,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"98","ASV1","SRR11944230",13539,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"217","ASV11","SRR11944228",13493,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"35","ASV1","SRR11944162",13459,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"100","ASV1","SRR11944219",13441,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"183","ASV11","SRR11944153",13432,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"101","ASV1","SRR11944209",13425,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"90","ASV1","SRR11944198",13369,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"21","ASV1","SRR11944171",13362,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"41","ASV1","SRR11944204",13358,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"58","ASV1","SRR11944249",13339,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"177","ASV11","SRR11944221",13301,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"130","ASV11","SRR11944207",13278,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"165","ASV11","SRR11944220",13248,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"75","ASV1","SRR11944227",13180,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"73","ASV1","SRR11944145",13138,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"153","ASV11","SRR11944219",13099,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"83","ASV1","SRR11944157",12987,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"76","ASV1","SRR11944217",12983,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"114","ASV11","SRR11944180",12886,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"8","ASV1","SRR11944180",12832,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"86","ASV1","SRR11944229",12819,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"65","ASV1","SRR11944206",12724,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"138","ASV11","SRR11944173",12649,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"113","ASV11","SRR11944181",12633,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"152","ASV11","SRR11944239",12596,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"157","ASV11","SRR11944188",12567,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"42","ASV1","SRR11944241",12533,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"71","ASV1","SRR11944165",12521,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"194","ASV11","SRR11944164",12291,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"31","ASV1","SRR11944192",12278,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"69","ASV1","SRR11944175",12102,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"38","ASV1","SRR11944234",12049,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"110","ASV1","SRR11944179",11971,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"51","ASV1","SRR11944225",11864,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"68","ASV1","SRR11944185",11850,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"84","ASV1","SRR11944156",11800,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"61","ASV1","SRR11944144",11752,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"20","ASV1","SRR11944181",11662,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"148","ASV11","SRR11944232",11644,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"5","ASV1","SRR11944200",11497,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"151","ASV11","SRR11944147",11484,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"137","ASV11","SRR11944183",11378,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"220","ASV11","SRR11944197",11354,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"207","ASV11","SRR11944155",11349,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"18","ASV1","SRR11944239",11309,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"44","ASV1","SRR11944183",11304,"2018-05","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"129","ASV11","SRR11944217",11253,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"54","ASV1","SRR11944242",11217,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"102","ASV1","SRR11944199",11199,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"92","ASV1","SRR11944187",11190,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"106","ASV1","SRR11944169",11101,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"10","ASV1","SRR11944235",11077,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"96","ASV1","SRR11944148",11058,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"193","ASV11","SRR11944191",10939,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"55","ASV1","SRR11944194",10926,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"28","ASV1","SRR11944213",10848,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"59","ASV1","SRR11944164",10792,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"201","ASV11","SRR11944195",10775,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"163","ASV11","SRR11944148",10769,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"156","ASV11","SRR11944236",10747,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"103","ASV1","SRR11944189",10738,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"121","ASV11","SRR11944185",10716,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"128","ASV11","SRR11944170",10694,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"179","ASV11","SRR11944156",10643,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"7","ASV1","SRR11944190",10624,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"94","ASV1","SRR11944168",10616,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"57","ASV1","SRR11944174",10580,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"70","ASV1","SRR11944166",10576,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"2","ASV1","SRR11944231",10521,"2017-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"88","ASV1","SRR11944218",10356,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"85","ASV1","SRR11944146",10352,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"170","ASV11","SRR11944179",10329,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"167","ASV11","SRR11944145",10319,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"17","ASV1","SRR11944201",10302,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"82","ASV1","SRR11944167",10296,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"40","ASV1","SRR11944214",10272,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"171","ASV11","SRR11944142",10244,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"210","ASV11","SRR11944162",10177,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"81","ASV1","SRR11944176",10137,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"188","ASV11","SRR11944242",10100,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"24","ASV1","SRR11944151",10000,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"169","ASV11","SRR11944189",9980,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"199","ASV11","SRR11944151",9848,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"33","ASV1","SRR11944172",9841,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"36","ASV1","SRR11944152",9802,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"122","ASV11","SRR11944175",9802,"2017-11","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"25","ASV1","SRR11944141",9741,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"105","ASV1","SRR11944178",9580,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"47","ASV1","SRR11944163",9537,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"142","ASV11","SRR11944208",9490,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"218","ASV11","SRR11944199",9480,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"27","ASV1","SRR11944223",9127,"2017-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"12","ASV1","SRR11944150",9120,"2018-04","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"67","ASV1","SRR11944195",9111,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"53","ASV1","SRR11944205",9017,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"145","ASV11","SRR11944187",8884,"2018-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"189","ASV11","SRR11944222",8838,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"89","ASV1","SRR11944208",8837,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"134","ASV11","SRR11944176",8721,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"154","ASV11","SRR11944209",8720,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"56","ASV1","SRR11944184",8666,"2018-02","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"99","ASV1","SRR11944220",8655,"2018-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"132","ASV11","SRR11944205",8509,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"66","ASV1","SRR11944243",8491,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"176","ASV11","SRR11944241",8434,"2018-05","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"48","ASV1","SRR11944153",8269,"2018-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"3","ASV1","SRR11944221",8175,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"60","ASV1","SRR11944154",8103,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"74","ASV1","SRR11944247",8033,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"214","ASV11","SRR11944169",7961,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"126","ASV11","SRR11944172",7928,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Firmicutes"
"174","ASV11","SRR11944159",7914,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"216","ASV11","SRR11944229",7894,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"14","ASV1","SRR11944232",7775,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"123","ASV11","SRR11944201",7701,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"162","ASV11","SRR11944158",7619,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"22","ASV1","SRR11944236",7592,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"185","ASV11","SRR11944225",7264,"2017-02","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"19","ASV1","SRR11944191",7231,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"182","ASV11","SRR11944163",7163,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"87","ASV1","SRR11944228",7095,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
