"","OTU","Sample","Abundance","sample_type","author","host_disease","host_subtype","Collection","Kingdom","Phylum"
"623","ASV221","SRR2923765",57,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"226","ASV14","SRR2923351",53,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"607","ASV221","SRR2923350",53,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"632","ASV221","SRR2923378",53,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"287","ASV14","SRR2923376",50,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"668","ASV221","SRR2923400",50,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"67","ASV1","SRR2923369",49,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"636","ASV221","SRR2923373",48,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"651","ASV221","SRR2923805",48,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"605","ASV221","SRR2923809",44,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"631","ASV221","SRR2923797",44,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"619","ASV221","SRR2923362",43,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"29","ASV1","SRR2923755",42,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"336","ASV1432","SRR2923754",42,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"231","ASV14","SRR2923768",38,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"247","ASV14","SRR2923750",35,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"268","ASV14","SRR2923755",35,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"620","ASV221","SRR2923376",35,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"616","ASV221","SRR2923354",34,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"626","ASV221","SRR2923368",28,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"58","ASV1","SRR2923397",27,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"290","ASV14","SRR2923805",27,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"277","ASV14","SRR2923371",25,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"228","ASV14","SRR2923348",24,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"238","ASV14","SRR2923350",24,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"233","ASV14","SRR2923765",23,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"602","ASV221","SRR2923351",23,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"637","ASV221","SRR2923806",23,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"673","ASV221","SRR2923759",23,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"274","ASV14","SRR2923361",22,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"344","ASV1432","SRR2923761",22,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"422","ASV1913","SRR2923351",21,"stool","Ringel","NA","NA","1st","Bacteria","Fusobacteriota"
"234","ASV14","SRR2923354",20,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"259","ASV14","SRR2923751",20,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"273","ASV14","SRR2923792",20,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"288","ASV14","SRR2923802",20,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"338","ASV1432","SRR2923771",20,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"345","ASV1432","SRR2923358",19,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"613","ASV221","SRR2923356",19,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"293","ASV14","SRR2923800",18,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"71","ASV1","SRR2923380",17,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"368","ASV1432","SRR2923805",17,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"572","ASV2060","SRR2923773",17,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota"
"646","ASV221","SRR2923771",17,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"353","ASV1432","SRR2923375",16,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"262","ASV14","SRR2923360",15,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"672","ASV221","SRR2923754",15,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"645","ASV221","SRR2923772",14,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"575","ASV2060","SRR2923797",13,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota"
"156","ASV1229","SRR2923376",12,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"622","ASV221","SRR2923792",12,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"657","ASV221","SRR2923773",12,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"250","ASV14","SRR2923359",11,"stool","Ringel","NA","NA","1st","Bacteria","Actinobacteriota"
"334","ASV1432","SRR2923757",11,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"374","ASV1432","SRR2923806",11,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"611","ASV221","SRR2923358",11,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
"34","ASV1","SRR2923393",10,"stool","Ringel","NA","NA","1st","Bacteria","Bacteroidota"
"194","ASV1229","SRR2923754",10,"stool","Ringel","NA","NA","1st","Bacteria","Verrucomicrobiota"
"359","ASV1432","SRR2923348",10,"stool","Ringel","NA","NA","1st","Bacteria","Desulfobacterota"
"554","ASV2060","SRR2923748",10,"stool","Ringel","NA","NA","1st","Bacteria","Synergistota"
"662","ASV221","SRR2923748",10,"stool","Ringel","NA","NA","1st","Bacteria","Proteobacteria"
