"","OTU","Sample","Abundance","host_disease","host_subtype","sample_type","author","Collection","Kingdom","Phylum"
"125","ASV275","SRR7282519",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"129","ASV275","SRR7282518",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"130","ASV275","SRR7282511",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"131","ASV275","SRR7282517",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"132","ASV275","SRR7282507",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"134","ASV275","SRR7282510",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"135","ASV275","SRR7282508",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"136","ASV275","SRR7282509",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"137","ASV275","SRR7282502",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"140","ASV275","SRR7282505",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"141","ASV275","SRR7282488",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"142","ASV275","SRR7282503",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"143","ASV275","SRR7282486",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"144","ASV275","SRR7282491",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"145","ASV275","SRR7282484",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"147","ASV275","SRR7282482",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"148","ASV275","SRR7282487",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"149","ASV275","SRR7282490",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"150","ASV275","SRR7282483",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Verrucomicrobiota"
"151","ASV321","SRR7282522",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"152","ASV321","SRR7282523",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"153","ASV321","SRR7282518",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"154","ASV321","SRR7282519",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"155","ASV321","SRR7282524",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"156","ASV321","SRR7282508",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"157","ASV321","SRR7282509",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"158","ASV321","SRR7282510",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"160","ASV321","SRR7282525",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"161","ASV321","SRR7282505",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"163","ASV321","SRR7282511",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"164","ASV321","SRR7282521",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"165","ASV321","SRR7282504",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"166","ASV321","SRR7282502",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"167","ASV321","SRR7282507",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"168","ASV321","SRR7282517",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"169","ASV321","SRR7282526",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Synergistota"
"170","ASV321","SRR7282491",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"171","ASV321","SRR7282503",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"172","ASV321","SRR7282488",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"173","ASV321","SRR7282487",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"174","ASV321","SRR7282484",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"176","ASV321","SRR7282490",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
