run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR7282497	SAMN08393270	SRX4186057	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282497/SRR7282497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282497/SRR7282497_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/007/SRR7282497
SRR7282499	SAMN08393242	SRX4186055	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282499/SRR7282499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282499/SRR7282499_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/009/SRR7282499
SRR7282500	SAMN08393279	SRX4186054	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282500/SRR7282500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282500/SRR7282500_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/000/SRR7282500
SRR7282512	SAMN08393322	SRX4186042	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282512/SRR7282512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282512/SRR7282512_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/002/SRR7282512
SRR7282514	SAMN08393297	SRX4186040	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282514/SRR7282514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/004/SRR7282514/SRR7282514_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/004/SRR7282514
SRR7282515	SAMN08393280	SRX4186039	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282515/SRR7282515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282515/SRR7282515_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/005/SRR7282515
SRR7282520	SAMN08389692	SRX4186034	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282520/SRR7282520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282520/SRR7282520_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/000/SRR7282520
SRR7282486	SAMN08390926	SRX4186068	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282486/SRR7282486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282486/SRR7282486_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/006/SRR7282486
SRR7282507	SAMN08392975	SRX4186047	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282507/SRR7282507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282507/SRR7282507_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/007/SRR7282507
SRR7282508	SAMN08390945	SRX4186046	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282508/SRR7282508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282508/SRR7282508_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/008/SRR7282508
SRR7282523	SAMN08390404	SRX4186031	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282523/SRR7282523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282523/SRR7282523_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/003/SRR7282523
SRR7282483	SAMN08390947	SRX4186071	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282483/SRR7282483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/003/SRR7282483/SRR7282483_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/003/SRR7282483
SRR7282495	SAMN08393078	SRX4186059	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282495/SRR7282495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282495/SRR7282495_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/005/SRR7282495
SRR7282496	SAMN08393277	SRX4186058	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282496/SRR7282496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282496/SRR7282496_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/006/SRR7282496
SRR7282510	SAMN08390951	SRX4186044	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282510/SRR7282510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/000/SRR7282510/SRR7282510_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/000/SRR7282510
SRR7282518	SAMN08390522	SRX4186036	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282518/SRR7282518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/008/SRR7282518/SRR7282518_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/008/SRR7282518
SRR7282521	SAMN08389677	SRX4186033	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282521/SRR7282521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/001/SRR7282521/SRR7282521_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/001/SRR7282521
SRR7282489	SAMN08390927	SRX4186065	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282489/SRR7282489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282489/SRR7282489_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/009/SRR7282489
SRR7282492	SAMN08393217	SRX4186062	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282492/SRR7282492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7282492/SRR7282492_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/002/SRR7282492
SRR7282506	SAMN08392931	SRX4186048	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282506/SRR7282506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/006/SRR7282506/SRR7282506_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/006/SRR7282506
SRR7282509	SAMN08390950	SRX4186045	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282509/SRR7282509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/009/SRR7282509/SRR7282509_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/009/SRR7282509
SRR7282517	SAMN08390840	SRX4186037	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282517/SRR7282517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/007/SRR7282517/SRR7282517_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/007/SRR7282517
SRR7282525	SAMN08389745	SRX4186029	PRJNA475187	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282525/SRR7282525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/005/SRR7282525/SRR7282525_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR728/005/SRR7282525
